step_idx,power_dbm_requested,packet_idx_in_step,tx_id,send_ts_ns,done_ts_ns,elapsed_us,outcome,status_code,toa_us,lbt_enabled,inter_cycle_s,cfg_set_age_ms,host_loop_iter_us,python_rss_kb
3,5,8,0x08,270771466500375,270771506382875,39882,ok,0,25728,0,0.0500,771,94694,0
3,5,9,0x09,270771557899250,270771600348125,42448,ok,0,25728,0,0.0500,863,91398,0
3,5,10,0x0a,270771650908250,270771686645750,35737,ok,0,25728,0,0.0500,956,93009,0
3,5,11,0x0b,270771737319125,270771776177000,38857,ok,0,25728,0,0.0500,1042,86410,0
3,5,12,0x0c,270771827579875,270771867723750,40143,ok,0,25728,0,0.0500,1132,90260,0
3,5,13,0x0d,270771918685875,270771957192000,38506,ok,0,25728,0,0.0500,1223,91106,0
3,5,14,0x0e,270772008794500,270772054786750,45992,ok,0,25728,0,0.0500,1314,90108,0
3,5,15,0x0f,270772106660000,270772146615625,39955,ok,0,25728,0,0.0500,1411,97865,0
3,5,16,0x10,270772198238250,270772243161875,44923,ok,0,25728,0,0.0500,1503,91578,0
3,5,17,0x11,270772294131125,270772333505375,39374,ok,0,25728,0,0.0500,1599,95892,0
3,5,18,0x12,270772384899250,270772428570500,43671,ok,0,25728,0,0.0500,1690,90768,0
3,5,19,0x13,270772479677250,270772519476875,39799,ok,0,25728,0,0.0500,1784,94778,0
3,5,20,0x14,270772570568500,270772610644625,40076,ok,0,25728,0,0.0500,1875,90891,0
3,5,21,0x15,270772662119000,270772706101500,43982,ok,0,25728,0,0.0500,1967,91550,0
3,5,22,0x16,270772756804375,270772798146500,41342,ok,0,25728,0,0.0500,2062,94685,0
3,5,23,0x17,270772850048375,270772892820625,42772,ok,0,25728,0,0.0500,2155,93244,0
3,5,24,0x18,270772945107125,270772989158625,44051,ok,0,25728,0,0.0500,2250,95058,0
3,5,25,0x19,270773040761500,270773084771500,44010,ok,0,25728,0,0.0500,2345,95654,0
3,5,26,0x1a,270773136544500,270773181536875,44992,ok,0,25728,0,0.0500,2441,95783,0
3,5,27,0x1b,270773232640125,270773272724250,40084,ok,0,25728,0,0.0500,2537,96095,0
3,5,28,0x1c,270773324596250,270773368234500,43638,ok,0,25728,0,0.0500,2629,91956,0
3,5,29,0x1d,270773419835125,270773464601125,44766,ok,0,25728,0,0.0500,2725,95238,0
3,5,30,0x1e,270773515575750,270773555979000,40403,ok,0,25728,0,0.0500,2820,95740,0
3,5,31,0x1f,270773606792875,270773643793125,37000,ok,0,25728,0,0.0500,2912,91217,0
3,5,32,0x20,270773695357500,270773737815375,42457,ok,0,25728,0,0.0500,3000,88564,0
3,5,33,0x21,270773788910625,270773833830000,44919,ok,0,25728,0,0.0500,3094,93553,0
3,5,34,0x22,270773884944500,270773925006875,40062,ok,0,25728,0,0.0500,3190,96033,0
3,5,35,0x23,270773976209000,270774013861500,37652,ok,0,25728,0,0.0500,3281,91264,0
3,5,36,0x24,270774064523875,270774102987500,38463,ok,0,25728,0,0.0500,3369,88314,0
3,5,37,0x25,270774154682375,270774198834625,44152,ok,0,25728,0,0.0500,3459,90158,0
3,5,38,0x26,270774249936750,270774290152500,40215,ok,0,25728,0,0.0500,3555,95254,0
3,5,39,0x27,270774341530375,270774381807375,40277,ok,0,25728,0,0.0500,3646,91593,0
3,5,40,0x28,270774432687750,270774469951500,37263,ok,0,25728,0,0.0500,3737,91157,0
3,5,41,0x29,270774520866500,270774559335625,38469,ok,0,25728,0,0.0500,3826,88178,0
3,5,42,0x2a,270774611246500,270774655199625,43953,ok,0,25728,0,0.0500,3916,90380,0
3,5,43,0x2b,270774706028500,270774743400250,37371,ok,0,25728,0,0.0500,4011,94782,0
3,5,44,0x2c,270774795126125,270774837684125,42558,ok,0,25728,0,0.0500,4100,89097,0
3,5,45,0x2d,270774889026250,270774929204375,40178,ok,0,25728,0,0.0500,4194,93900,0
3,5,46,0x2e,270774980405250,270775020607625,40202,ok,0,25728,0,0.0500,4285,91379,0
3,5,47,0x2f,270775072580000,270775116739625,44159,ok,0,25728,0,0.0500,4377,92174,0
3,5,48,0x30,270775168715000,270775212788375,44073,ok,0,25728,0,0.0500,4473,96135,0
3,5,49,0x31,270775263630250,270775301117750,37487,ok,0,25728,0,0.0500,4568,94915,0
4,6,0,0x00,270775414422750,270775450849875,36427,ok,0,25728,0,0.0500,25,150792,0
4,6,1,0x01,270775501944125,270775542636625,40692,ok,0,25728,0,0.0500,112,87521,0
4,6,2,0x02,270775593436625,270775629315375,35878,ok,0,25728,0,0.0500,204,91492,0
4,6,3,0x03,270775679955125,270775717998125,38043,ok,0,25728,0,0.0500,290,86518,0
4,6,4,0x04,270775769667500,270775814633000,44965,ok,0,25728,0,0.0500,380,89712,0
4,6,5,0x05,270775865488250,270775898377250,32889,ok,0,25728,0,0.0500,476,95820,0
4,6,6,0x06,270775949597375,270775993120000,43522,ok,0,25728,0,0.0500,560,84109,0
4,6,7,0x07,270776043848625,270776080718000,36869,ok,0,25728,0,0.0500,654,94251,0
4,6,8,0x08,270776131710625,270776171582875,39872,ok,0,25728,0,0.0500,742,87862,0
4,6,9,0x09,270776222781125,270776262887625,40106,ok,0,25728,0,0.0500,833,91070,0
4,6,10,0x0a,270776314029125,270776354154875,40125,ok,0,25728,0,0.0500,924,91248,0
4,6,11,0x0b,270776405188625,270776445397250,40208,ok,0,25728,0,0.0500,1015,91159,0
4,6,12,0x0c,270776496273625,270776534813000,38539,ok,0,25728,0,0.0500,1106,91085,0
4,6,13,0x0d,270776586503000,270776630491500,43988,ok,0,25728,0,0.0500,1197,90229,0
4,6,14,0x0e,270776681867000,270776727254250,45387,ok,0,25728,0,0.0500,1292,95364,0
4,6,15,0x0f,270776780559250,270776820745750,40186,ok,0,25728,0,0.0500,1391,98692,0
4,6,16,0x10,270776871466625,270776908566875,37100,ok,0,25728,0,0.0500,1482,90907,0
4,6,17,0x11,270776959672250,270776999341500,39669,ok,0,25728,0,0.0500,1570,88205,0
4,6,18,0x12,270777050416750,270777091050375,40633,ok,0,25728,0,0.0500,1661,90744,0
4,6,19,0x13,270777142140250,270777182196000,40055,ok,0,25728,0,0.0500,1752,91723,0
4,6,20,0x14,270777232955500,270777274796875,41841,ok,0,25728,0,0.0500,1843,90815,0
4,6,21,0x15,270777326387750,270777366660750,40273,ok,0,25728,0,0.0500,1936,93432,0
4,6,22,0x16,270777417765375,270777458055250,40289,ok,0,25728,0,0.0500,2028,91377,0
4,6,23,0x17,270777509067625,270777549179000,40111,ok,0,25728,0,0.0500,2119,91302,0
4,6,24,0x18,270777600477625,270777640618625,40141,ok,0,25728,0,0.0500,2211,91410,0
4,6,25,0x19,270777691462625,270777729849875,38387,ok,0,25728,0,0.0500,2302,90985,0
4,6,26,0x1a,270777781008250,270777821041500,40033,ok,0,25728,0,0.0500,2391,89545,0
4,6,27,0x1b,270777871788500,270777908779750,36991,ok,0,25728,0,0.0500,2482,90780,0
4,6,28,0x1c,270777960621125,270778004754750,44133,ok,0,25728,0,0.0500,2571,88832,0
4,6,29,0x1d,270778055611500,270778094046500,38435,ok,0,25728,0,0.0500,2666,94990,0
4,6,30,0x1e,270778145692125,270778190860750,45168,ok,0,25728,0,0.0500,2756,90080,0
4,6,31,0x1f,270778241845500,270778286861375,45015,ok,0,25728,0,0.0500,2852,96153,0
4,6,32,0x20,270778338029250,270778375218375,37189,ok,0,25728,0,0.0500,2948,96183,0
4,6,33,0x21,270778426600250,270778466672250,40072,ok,0,25728,0,0.0500,3037,88571,0
4,6,34,0x22,270778517788750,270778555463000,37674,ok,0,25728,0,0.0500,3128,91188,0
4,6,35,0x23,270778606221750,270778646350375,40128,ok,0,25728,0,0.0500,3216,88433,0
4,6,36,0x24,270778697840000,270778738008125,40168,ok,0,25728,0,0.0500,3308,91618,0
4,6,37,0x25,270778789574250,270778832822125,43247,ok,0,25728,0,0.0500,3400,91734,0
4,6,38,0x26,270778884596500,270778928909625,44313,ok,0,25728,0,0.0500,3495,95022,0
4,6,39,0x27,270778980763000,270779025083250,44320,ok,0,25728,0,0.0500,3591,96166,0
4,6,40,0x28,270779076913250,270779125420500,48507,ok,0,25728,0,0.0500,3687,96150,0
4,6,41,0x29,270779175767125,270779212560875,36793,ok,0,25728,0,0.0500,3786,98853,0
4,6,42,0x2a,270779263649000,270779303788625,40139,ok,0,25728,0,0.0500,3874,87881,0
4,6,43,0x2b,270779354987625,270779392952500,37964,ok,0,25728,0,0.0500,3965,91338,0
4,6,44,0x2c,270779444328750,270779487819625,43490,ok,0,25728,0,0.0500,4054,89341,0
4,6,45,0x2d,270779539018875,270779579291375,40272,ok,0,25728,0,0.0500,4149,94690,0
4,6,46,0x2e,270779630964250,270779671423000,40458,ok,0,25728,0,0.0500,4241,91945,0
4,6,47,0x2f,270779723179625,270779767369875,44190,ok,0,25728,0,0.0500,4333,92215,0
4,6,48,0x30,270779819081625,270779863236625,44155,ok,0,25728,0,0.0500,4429,95902,0
4,6,49,0x31,270779914927375,270779958747000,43819,ok,0,25728,0,0.0500,4525,95845,0
5,7,0,0x00,270780066418500,270780102916250,36497,ok,0,25728,0,0.0500,24,151491,0
5,7,1,0x01,270780154567750,270780198548875,43981,ok,0,25728,0,0.0500,112,88149,0
5,7,2,0x02,270780249929625,270780291339250,41409,ok,0,25728,0,0.0500,208,95361,0
5,7,3,0x03,270780342715500,270780386737125,44021,ok,0,25728,0,0.0500,301,92785,0
5,7,4,0x04,270780438126750,270780482209125,44082,ok,0,25728,0,0.0500,396,95411,0
5,7,5,0x05,270780533928500,270780577978875,44050,ok,0,25728,0,0.0500,492,95801,0
5,7,6,0x06,270780628984000,270780669123875,40139,ok,0,25728,0,0.0500,587,95055,0
5,7,7,0x07,270780719906500,270780762126875,42220,ok,0,25728,0,0.0500,678,90922,0
5,7,8,0x08,270780813974375,270780852303375,38329,ok,0,25728,0,0.0500,772,94067,0
5,7,9,0x09,270780903307625,270780943930875,40623,ok,0,25728,0,0.0500,861,89333,0
