Password: MODE: rx_listen
dev=/dev/ttymxc3 baud=921600
RUNTIME_PROFILE_ENUM=ERR request_failed:TimeoutError
=== W1-10b probe RX_LISTEN: window=79.0s ===
INFO: drained type=0xA0 seq=1 during boot settle
INFO: drained type=0xA0 seq=2 during boot settle
RX_LISTEN: STATS(before) radio_rx_ok=2442 radio_crc_err=11 radio_state=4
RX_LISTEN: RegOpMode(pre)=0x80 (expected 0x85)
__V2_AUTOWAKE__ opmode_pre=0x80 opmode_post=0x85 action=write
__W1_10B_LISTEN_READY__
__RX_FRAME__ idx=92 rssi=-119 snr=-3 len=17 timestamp_us=3127003262 payload_hex=5750207330312070303320693030343120
__RX_FRAME__ idx=93 rssi=-118 snr=-3 len=17 timestamp_us=3127097331 payload_hex=5750207330312070303320693030343220
__RX_FRAME__ idx=94 rssi=-118 snr=-3 len=17 timestamp_us=3127193327 payload_hex=5750207330312070303320693030343320
__RX_FRAME__ idx=95 rssi=-118 snr=-4 len=17 timestamp_us=3127284894 payload_hex=5750207330312070303320693030343420
__RX_FRAME__ idx=96 rssi=-117 snr=-4 len=17 timestamp_us=3127373385 payload_hex=5750207330312070303320693030343520
__RX_FRAME__ idx=97 rssi=-118 snr=-4 len=17 timestamp_us=3127461087 payload_hex=5750207330312070303320693030343620
__RX_FRAME__ idx=98 rssi=-118 snr=-4 len=17 timestamp_us=3127555419 payload_hex=5750207330312070303320693030343720
__RX_FRAME__ idx=99 rssi=-118 snr=-4 len=17 timestamp_us=3127652451 payload_hex=5750207330312070303320693030343820
__RX_FRAME__ idx=100 rssi=-119 snr=-3 len=17 timestamp_us=3127744914 payload_hex=5750207330312070303320693030343920
__RX_FRAME__ idx=101 rssi=-118 snr=-2 len=17 timestamp_us=3127893090 payload_hex=5750207330322070303420693030303020
__RX_FRAME__ idx=102 rssi=-118 snr=-2 len=17 timestamp_us=3127981090 payload_hex=5750207330322070303420693030303120
__RX_FRAME__ idx=103 rssi=-118 snr=-2 len=17 timestamp_us=3128071941 payload_hex=5750207330322070303420693030303220
__RX_FRAME__ idx=104 rssi=-118 snr=-3 len=17 timestamp_us=3128163058 payload_hex=5750207330322070303420693030303320
__RX_FRAME__ idx=105 rssi=-118 snr=-2 len=17 timestamp_us=3128253004 payload_hex=5750207330322070303420693030303420
__RX_FRAME__ idx=106 rssi=-118 snr=-2 len=17 timestamp_us=3128348201 payload_hex=5750207330322070303420693030303520
__RX_FRAME__ idx=107 rssi=-118 snr=-2 len=17 timestamp_us=3128444440 payload_hex=5750207330322070303420693030303620
__RX_FRAME__ idx=108 rssi=-118 snr=-3 len=17 timestamp_us=3128536243 payload_hex=5750207330322070303420693030303720
__RX_FRAME__ idx=109 rssi=-118 snr=-3 len=17 timestamp_us=3128629937 payload_hex=5750207330322070303420693030303820
__RX_FRAME__ idx=110 rssi=-118 snr=-3 len=17 timestamp_us=3128720660 payload_hex=5750207330322070303420693030303920
__RX_FRAME__ idx=111 rssi=-117 snr=-2 len=17 timestamp_us=3128901753 payload_hex=5750207330322070303420693030313120
__RX_FRAME__ idx=112 rssi=-118 snr=-3 len=17 timestamp_us=3128992991 payload_hex=5750207330322070303420693030313220
__RX_FRAME__ idx=113 rssi=-117 snr=-3 len=17 timestamp_us=3129082310 payload_hex=5750207330322070303420693030313320
__RX_FRAME__ idx=114 rssi=-117 snr=-2 len=17 timestamp_us=3129177299 payload_hex=5750207330322070303420693030313420
__RX_FRAME__ idx=115 rssi=-118 snr=-3 len=17 timestamp_us=3129269309 payload_hex=5750207330322070303420693030313520
__RX_FRAME__ idx=116 rssi=-117 snr=-2 len=17 timestamp_us=3129360900 payload_hex=5750207330322070303420693030313620
__RX_FRAME__ idx=117 rssi=-118 snr=-3 len=17 timestamp_us=3129451476 payload_hex=5750207330322070303420693030313720
__RX_FRAME__ idx=118 rssi=-118 snr=-2 len=17 timestamp_us=3129540905 payload_hex=5750207330322070303420693030313820
__RX_FRAME__ idx=119 rssi=-118 snr=-2 len=17 timestamp_us=3129636370 payload_hex=5750207330322070303420693030313920
__RX_FRAME__ idx=120 rssi=-118 snr=-3 len=17 timestamp_us=3129728068 payload_hex=5750207330322070303420693030323020
__RX_FRAME__ idx=121 rssi=-118 snr=-3 len=17 timestamp_us=3129816764 payload_hex=5750207330322070303420693030323120
__RX_FRAME__ idx=122 rssi=-117 snr=-3 len=17 timestamp_us=3129911825 payload_hex=5750207330322070303420693030323220
__RX_FRAME__ idx=123 rssi=-117 snr=-3 len=17 timestamp_us=3130007609 payload_hex=5750207330322070303420693030323320
__RX_FRAME__ idx=124 rssi=-117 snr=-2 len=17 timestamp_us=3130101569 payload_hex=5750207330322070303420693030323420
__RX_FRAME__ idx=125 rssi=-117 snr=-3 len=17 timestamp_us=3130197231 payload_hex=5750207330322070303420693030323520
__RX_FRAME__ idx=126 rssi=-118 snr=-2 len=17 timestamp_us=3130283940 payload_hex=5750207330322070303420693030323620
__RX_FRAME__ idx=127 rssi=-118 snr=-3 len=17 timestamp_us=3130371646 payload_hex=5750207330322070303420693030323720
__RX_FRAME__ idx=128 rssi=-118 snr=-2 len=17 timestamp_us=3130461003 payload_hex=5750207330322070303420693030323820
__RX_FRAME__ idx=129 rssi=-118 snr=-2 len=17 timestamp_us=3130549158 payload_hex=5750207330322070303420693030323920
__RX_FRAME__ idx=130 rssi=-118 snr=-2 len=17 timestamp_us=3130644331 payload_hex=5750207330322070303420693030333020
