=== W2-02 TX: 344 fragments, uart=/dev/ttymxc3 ===
__W2_02_TX_FRAG__ idx=46 tx_id=0x2E status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fd0017ab20bcac15d44aecdb5104425f00814680966ccd451d2000005b5249464654000000574542505650382048000000d003009d012a200020003ef166ae4e
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=47 tx_id=0x2F status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fd0017ab21bcac15d44aecdb5104425f00814680966ccd451d2000005b5249464654000000574542505650382048000000d003009d012a200020003ef166ae4e
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=48 tx_id=0x30 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fd0018ab20a9a5a4a6300c01301e096500bf382c273554c8c727e79e4000fee6c80cac137616d892266a5db8e8c0e4d31101720647b328a88775096000007752
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=49 tx_id=0x31 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fd0018ab21a9a5a4a6300c01301e096500bf382c273554c8c727e79e4000fee6c80cac137616d892266a5db8e8c0e4d31101720647b328a88775096000007752
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=50 tx_id=0x32 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fd0019ab20494646700000005745425056503820640000009004009d012a200020003ee160a74ea8a623a237faa801101c096300bb001bb58d6381e49486ac00
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=51 tx_id=0x33 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fd0019ab21494646700000005745425056503820640000009004009d012a200020003ee160a74ea8a623a237faa801101c096300bb001bb58d6381e49486ac00
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=52 tx_id=0x34 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fd001aab20ee53b23db000fe9ec0fda8ee35d2c21e2bdd4861b2d3c1940b1ac4445a9ea690f904b555c7e9b8f81497a568a82b371a6991de1995db186ba11e00
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=53 tx_id=0x35 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fd001aab21ee53b23db000fe9ec0fda8ee35d2c21e2bdd4861b2d3c1940b1ac4445a9ea690f904b555c7e9b8f81497a568a82b371a6991de1995db186ba11e00
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=54 tx_id=0x36 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fd001bab200065524946465e000000574542505650382052000000d003009d012a200020003efd68ae4eab2624a230180c01601f894017600733124ab91f0a4c
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=55 tx_id=0x37 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fd001bab210065524946465e000000574542505650382052000000d003009d012a200020003efd68ae4eab2624a230180c01601f894017600733124ab91f0a4c
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=56 tx_id=0x38 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fd001cab20096000feeba55d1c970b6cd7d8716260d45ad626151999339a6300777dd9f243c81cb16230eaef1d5e3b0000005952494646520000005745425056
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=57 tx_id=0x39 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fd001cab21096000feeba55d1c970b6cd7d8716260d45ad626151999339a6300777dd9f243c81cb16230eaef1d5e3b0000005952494646520000005745425056
INFO: unrelated frame during TX wait type=0xC0
