Password: MODE: rx_listen
dev=/dev/ttymxc3 baud=921600
RUNTIME_PROFILE_ENUM=ERR request_failed:TimeoutError
=== W1-10b probe RX_LISTEN: window=55.0s ===
INFO: drained type=0xA0 seq=1 during boot settle
INFO: drained type=0xA0 seq=2 during boot settle
RX_LISTEN: STATS(before) radio_rx_ok=3906 radio_crc_err=16 radio_state=4
RX_LISTEN: RegOpMode(pre)=0x80 (expected 0x85)
__V2_AUTOWAKE__ opmode_pre=0x80 opmode_post=0x85 action=write
__W1_10B_LISTEN_READY__
__RX_FRAME__ idx=126 rssi=-118 snr=-3 len=17 timestamp_us=3311924548 payload_hex=5750207330322070303420693030343420
__RX_FRAME__ idx=127 rssi=-118 snr=-2 len=17 timestamp_us=3311977885 payload_hex=5750207330322070303420693030343520
__RX_FRAME__ idx=128 rssi=-118 snr=-3 len=17 timestamp_us=3312042215 payload_hex=5750207330322070303420693030343620
__RX_FRAME__ idx=129 rssi=-118 snr=-3 len=17 timestamp_us=3312103327 payload_hex=5750207330322070303420693030343720
__RX_FRAME__ idx=130 rssi=-118 snr=-2 len=17 timestamp_us=3312168993 payload_hex=5750207330322070303420693030343820
__RX_FRAME__ idx=131 rssi=-118 snr=-3 len=17 timestamp_us=3312229170 payload_hex=5750207330322070303420693030343920
__RX_FRAME__ idx=132 rssi=-118 snr=-2 len=17 timestamp_us=3312340647 payload_hex=5750207330332070303520693030303020
__RX_FRAME__ idx=133 rssi=-117 snr=-2 len=17 timestamp_us=3312400089 payload_hex=5750207330332070303520693030303120
__RX_FRAME__ idx=134 rssi=-117 snr=-2 len=17 timestamp_us=3312464967 payload_hex=5750207330332070303520693030303220
__RX_FRAME__ idx=135 rssi=-118 snr=-1 len=17 timestamp_us=3312593782 payload_hex=5750207330332070303520693030303520
__RX_FRAME__ idx=136 rssi=-117 snr=-2 len=17 timestamp_us=3312657388 payload_hex=5750207330332070303520693030303620
__RX_FRAME__ idx=137 rssi=-117 snr=-2 len=17 timestamp_us=3312716169 payload_hex=5750207330332070303520693030303720
__RX_FRAME__ idx=138 rssi=-118 snr=-2 len=17 timestamp_us=3312775293 payload_hex=5750207330332070303520693030303820
__RX_FRAME__ idx=139 rssi=-118 snr=-1 len=17 timestamp_us=3312845656 payload_hex=5750207330332070303520693030303920
__RX_FRAME__ idx=140 rssi=-117 snr=-2 len=17 timestamp_us=3312905286 payload_hex=5750207330332070303520693030313020
__RX_FRAME__ idx=141 rssi=-118 snr=-2 len=17 timestamp_us=3312966019 payload_hex=5750207330332070303520693030313120
__RX_FRAME__ idx=142 rssi=-117 snr=-2 len=17 timestamp_us=3313026862 payload_hex=5750207330332070303520693030313220
__RX_FRAME__ idx=143 rssi=-117 snr=-2 len=17 timestamp_us=3313086090 payload_hex=5750207330332070303520693030313320
