Password: MODE: rx_listen
dev=/dev/ttymxc3 baud=921600
RUNTIME_PROFILE_ENUM=ERR request_failed:TimeoutError
=== W1-10b probe RX_LISTEN: window=79.0s ===
INFO: drained type=0xA0 seq=1 during boot settle
INFO: drained type=0xA0 seq=2 during boot settle
RX_LISTEN: STATS(before) radio_rx_ok=3213 radio_crc_err=14 radio_state=4
RX_LISTEN: RegOpMode(pre)=0x80 (expected 0x85)
__V2_AUTOWAKE__ opmode_pre=0x80 opmode_post=0x85 action=write
__W1_10B_LISTEN_READY__
__RX_FRAME__ idx=151 rssi=-118 snr=-2 len=17 timestamp_us=3222780995 payload_hex=5750207330332070303520693030303220
__RX_FRAME__ idx=152 rssi=-117 snr=-2 len=17 timestamp_us=3222871157 payload_hex=5750207330332070303520693030303320
__RX_FRAME__ idx=153 rssi=-117 snr=-2 len=17 timestamp_us=3222975348 payload_hex=5750207330332070303520693030303420
__RX_FRAME__ idx=154 rssi=-117 snr=-2 len=17 timestamp_us=3223072540 payload_hex=5750207330332070303520693030303520
__RX_FRAME__ idx=155 rssi=-117 snr=-2 len=17 timestamp_us=3223165710 payload_hex=5750207330332070303520693030303620
__RX_FRAME__ idx=156 rssi=-117 snr=-2 len=17 timestamp_us=3223270899 payload_hex=5750207330332070303520693030303720
__RX_FRAME__ idx=157 rssi=-118 snr=-1 len=17 timestamp_us=3223384075 payload_hex=5750207330332070303520693030303820
__RX_FRAME__ idx=158 rssi=-117 snr=-1 len=17 timestamp_us=3223487249 payload_hex=5750207330332070303520693030303920
__RX_FRAME__ idx=159 rssi=-117 snr=-2 len=17 timestamp_us=3223589414 payload_hex=5750207330332070303520693030313020
__RX_FRAME__ idx=160 rssi=-118 snr=-2 len=17 timestamp_us=3223695606 payload_hex=5750207330332070303520693030313120
__RX_FRAME__ idx=161 rssi=-117 snr=-2 len=17 timestamp_us=3223808829 payload_hex=5750207330332070303520693030313220
__RX_FRAME__ idx=162 rssi=-117 snr=-1 len=17 timestamp_us=3223905013 payload_hex=5750207330332070303520693030313320
__RX_FRAME__ idx=163 rssi=-118 snr=-2 len=17 timestamp_us=3224002191 payload_hex=5750207330332070303520693030313420
__RX_FRAME__ idx=164 rssi=-118 snr=-2 len=17 timestamp_us=3224093349 payload_hex=5750207330332070303520693030313520
__RX_FRAME__ idx=165 rssi=-118 snr=-1 len=17 timestamp_us=3224197539 payload_hex=5750207330332070303520693030313620
__RX_FRAME__ idx=166 rssi=-118 snr=-2 len=17 timestamp_us=3224301726 payload_hex=5750207330332070303520693030313720
__RX_FRAME__ idx=167 rssi=-117 snr=-2 len=17 timestamp_us=3224402913 payload_hex=5750207330332070303520693030313820
__RX_FRAME__ idx=168 rssi=-117 snr=-2 len=17 timestamp_us=3224514087 payload_hex=5750207330332070303520693030313920
__RX_FRAME__ idx=169 rssi=-118 snr=-2 len=17 timestamp_us=3224602249 payload_hex=5750207330332070303520693030323020
__RX_FRAME__ idx=170 rssi=-117 snr=-3 len=17 timestamp_us=3224708440 payload_hex=5750207330332070303520693030323120
__RX_FRAME__ idx=171 rssi=-118 snr=-2 len=17 timestamp_us=3224821677 payload_hex=5750207330332070303520693030323220
__RX_FRAME__ idx=172 rssi=-117 snr=-1 len=17 timestamp_us=3224925879 payload_hex=5750207330332070303520693030323320
__RX_FRAME__ idx=173 rssi=-118 snr=-2 len=17 timestamp_us=3225019053 payload_hex=5750207330332070303520693030323420
__RX_FRAME__ idx=174 rssi=-117 snr=-1 len=17 timestamp_us=3225112191 payload_hex=5750207330332070303520693030323520
__RX_FRAME__ idx=175 rssi=-117 snr=-1 len=17 timestamp_us=3225213330 payload_hex=5750207330332070303520693030323620
__RX_FRAME__ idx=176 rssi=-117 snr=-2 len=17 timestamp_us=3225315487 payload_hex=5750207330332070303520693030323720
__RX_FRAME__ idx=177 rssi=-117 snr=-2 len=17 timestamp_us=3225419649 payload_hex=5750207330332070303520693030323820
__RX_FRAME__ idx=178 rssi=-117 snr=-2 len=17 timestamp_us=3225514787 payload_hex=5750207330332070303520693030323920
__RX_FRAME__ idx=179 rssi=-118 snr=-2 len=17 timestamp_us=3225630002 payload_hex=5750207330332070303520693030333020
__RX_FRAME__ idx=180 rssi=-117 snr=-2 len=17 timestamp_us=3225733179 payload_hex=5750207330332070303520693030333120
__RX_FRAME__ idx=181 rssi=-118 snr=-1 len=17 timestamp_us=3225826371 payload_hex=5750207330332070303520693030333220
__RX_FRAME__ idx=182 rssi=-118 snr=-2 len=17 timestamp_us=3225935588 payload_hex=5750207330332070303520693030333320
__RX_FRAME__ idx=183 rssi=-118 snr=-2 len=17 timestamp_us=3226038793 payload_hex=5750207330332070303520693030333420
__RX_FRAME__ idx=184 rssi=-117 snr=-2 len=17 timestamp_us=3226148010 payload_hex=5750207330332070303520693030333520
__RX_FRAME__ idx=185 rssi=-117 snr=-2 len=17 timestamp_us=3226255205 payload_hex=5750207330332070303520693030333620
__RX_FRAME__ idx=186 rssi=-117 snr=-2 len=17 timestamp_us=3226359433 payload_hex=5750207330332070303520693030333720
__RX_FRAME__ idx=187 rssi=-118 snr=-1 len=17 timestamp_us=3226459660 payload_hex=5750207330332070303520693030333820
__RX_FRAME__ idx=188 rssi=-118 snr=-2 len=17 timestamp_us=3226556885 payload_hex=5750207330332070303520693030333920
__RX_FRAME__ idx=189 rssi=-117 snr=-1 len=17 timestamp_us=3226654090 payload_hex=5750207330332070303520693030343020
__RX_FRAME__ idx=190 rssi=-118 snr=-2 len=17 timestamp_us=3226759362 payload_hex=5750207330332070303520693030343120
__RX_FRAME__ idx=191 rssi=-118 snr=-2 len=17 timestamp_us=3226861617 payload_hex=5750207330332070303520693030343220
__RX_FRAME__ idx=192 rssi=-117 snr=-1 len=17 timestamp_us=3226951867 payload_hex=5750207330332070303520693030343320
__RX_FRAME__ idx=193 rssi=-118 snr=-2 len=17 timestamp_us=3227060124 payload_hex=5750207330332070303520693030343420
__RX_FRAME__ idx=194 rssi=-118 snr=-1 len=17 timestamp_us=3227164343 payload_hex=5750207330332070303520693030343520
__RX_FRAME__ idx=195 rssi=-118 snr=-2 len=17 timestamp_us=3227269594 payload_hex=5750207330332070303520693030343620
__RX_FRAME__ idx=196 rssi=-118 snr=-2 len=17 timestamp_us=3227373836 payload_hex=5750207330332070303520693030343720
__RX_FRAME__ idx=197 rssi=-117 snr=-1 len=17 timestamp_us=3227471052 payload_hex=5750207330332070303520693030343820
__RX_FRAME__ idx=198 rssi=-118 snr=-1 len=17 timestamp_us=3227578341 payload_hex=5750207330332070303520693030343920
__RX_FRAME__ idx=199 rssi=-117 snr=-1 len=17 timestamp_us=3227731788 payload_hex=5750207330342070303620693030303020
__RX_FRAME__ idx=200 rssi=-116 snr=-2 len=17 timestamp_us=3227834051 payload_hex=5750207330342070303620693030303120
__RX_FRAME__ idx=201 rssi=-117 snr=-1 len=17 timestamp_us=3227940355 payload_hex=5750207330342070303620693030303220
__RX_FRAME__ idx=202 rssi=-117 snr=0 len=17 timestamp_us=3228046669 payload_hex=5750207330342070303620693030303320
__RX_FRAME__ idx=203 rssi=-117 snr=-1 len=17 timestamp_us=3228155992 payload_hex=5750207330342070303620693030303420
__RX_FRAME__ idx=204 rssi=-116 snr=0 len=17 timestamp_us=3228249255 payload_hex=5750207330342070303620693030303520
